"ID#","Título","Descripción","Precondiciones","Datos de Prueba","Pasos","Resultado Esperado","Status","Prioridad","Etiquetas (Tipos de Pruebas)","Evidencia","Diseñado por","Ejecutado por","Fecha de Ejecución","Resultado Obtenido","Comentarios","Módulo"
"TC-ACCESS-01","Aforo en tiempo real — acceso solo para administrador","Valida que la conexión WebSocket de aforo en vivo (US08) solo sea aceptada para el rol administrador, rechazando conexiones anónimas y de socios.","Existen cuentas de administrador y de socio; no se provee token para el intento anónimo.","Cuentas de prueba: socio@winniegym.com (rol socio), recepcion@winniegym.com/admin (rol administrador); conexión WebSocket al feed de aforo sin header de token para el caso anónimo.","1) Intentar abrir la conexión de aforo en vivo sin token. 2) Intentar como socio. 3) Intentar como administrador.","El intento anónimo y el de socio son rechazados; la conexión del administrador es aceptada y recibe de inmediato una foto (snapshot) con el aforo actual.","PASS","Crítica","#Funcional #Seguridad #Regresión","test_aforo_websocket.py::test_anonymous_is_rejected, test_socio_is_rejected, test_admin_can_connect_and_receives_snapshot","Magali Bechis","CI/pytest local","14/09/2026","El intento anónimo y el de socio son rechazados; la conexión del administrador es aceptada y recibe de inmediato una foto (snapshot) con el aforo actual.","","access"
"TC-ACCESS-02","Broadcast en tiempo real de eventos de aforo","Verifica que un ingreso otorgado dispare de inmediato una actualización por WebSocket a los administradores conectados, y que un ingreso denegado no lo haga.","Un administrador está conectado al feed de aforo en vivo con el snapshot inicial.","Registro de acceso GRANTED y registro DENIED (ej. motivo 'membresía inactiva') emitidos sobre el mismo canal WS de aforo en vivo.","1) Registrar un ingreso otorgado (GRANTED). 2) Registrar un ingreso denegado (DENIED, ej. membresía inactiva).","El ingreso otorgado dispara de inmediato una actualización por WebSocket con el conteo incrementado; el ingreso denegado no genera ninguna actualización.","PASS","Alta","#Funcional #Integración #Regresión","test_aforo_websocket.py::test_access_log_creation_broadcasts_update, test_denied_access_does_not_broadcast","Gisele Lavisse","CI/pytest local","14/09/2026","El ingreso otorgado dispara de inmediato una actualización por WebSocket con el conteo incrementado; el ingreso denegado no genera ninguna actualización.","","access"
"TC-ACCESS-03","Reporte de disponibilidad del módulo de accesos (RNF06)","Valida el cálculo del reporte de disponibilidad de accesos, distinguiendo denegaciones de negocio (no cuentan) de fallas de infraestructura (sí cuentan), como soporte de RNF06.","Existen registros de acceso con distintos estados, motivos de denegación y fechas (algunos dentro y fuera de la ventana del reporte).","Ventana de 30 días; combinación de accesos GRANTED, DENIED por reglas de negocio, fallas de infraestructura simuladas y registros con fecha fuera de rango, para calcular disponibilidad contra el objetivo RNF06 (≥ 99.9%).","1) Correr el reporte de disponibilidad de los últimos 30 días con: todos otorgados; denegaciones de negocio mezcladas; fallas de infraestructura; registros fuera de la ventana.","Las denegaciones de negocio no cuentan contra la disponibilidad; las fallas de infraestructura la reducen y pueden marcar el cumplimiento del objetivo (RNF06) como falso; los registros fuera de ventana se excluyen; el reporte imprime un resumen legible.","PASS","Media","#Funcional #No-Funcional #Regresión","test_availability_report.py::test_all_granted_reports_100_percent, test_business_denials_are_excluded_from_denominator, test_infra_failure_lowers_availability, test_below_target_reports_meets_false, test_events_outside_window_are_ignored, test_plain_output_prints_summary","Jimena Gallegillo","CI/pytest local","14/09/2026","Las denegaciones de negocio no cuentan contra la disponibilidad; las fallas de infraestructura la reducen y pueden marcar el cumplimiento del objetivo (RNF06) como falso; los registros fuera de ventana se excluyen; el reporte imprime un resumen legible.","","access"
"TC-ACCESS-04","Validación de membresía activa para habilitar el QR","Verifica que solo una membresía activa y vigente habilite el acceso, y que las membresías vencidas se actualicen automáticamente al consultarlas (expiración perezosa).","Existe un socio con distintos estados de membresía: sin membresía, activa vigente, activa vencida, suspendido o dado de baja.","Socio sin membresía, socio con membresía activa vigente, socio con membresía activa pero fecha_fin ya pasada, socio con estado 'suspendido' y socio con estado 'baja'.","1) Verificar el estado de membresía activa para cada caso. 2) Para el caso vencido, repetir la verificación inmediatamente después.","Solo la membresía activa y vigente resulta válida; las membresías vencidas actualizan su estado en la base de datos a 'vencida'; repetir la verificación no duplica la actualización.","PASS","Crítica","#Funcional #Seguridad #Regresión","test_services.py::test_no_socio_returns_false, test_no_membership_returns_false, test_active_non_expired_returns_true, test_expired_membership_returns_false_and_marks_vencida, test_socio_suspendido_returns_false, test_socio_baja_returns_false, test_concurrent_lazy_expiry_consistent","Magali Bechis","CI/pytest local","14/09/2026","Solo la membresía activa y vigente resulta válida; las membresías vencidas actualizan su estado en la base de datos a 'vencida'; repetir la verificación no duplica la actualización.","Relacionado a bug #80 (resuelto) — has_active_membership devolvía False incondicional y rechazaba siempre el QR; cubre la regresión sobre la lógica de membresía activa.","access"
"TC-ACCESS-05","Generación y verificación segura del token QR dinámico","Valida la firma HMAC, el anti-replay y el manejo de identificadores vacíos del token QR de la credencial digital (US04).","Existe un socio sin token QR emitido todavía.","Token QR firmado con HMAC, con jti (identificador único) y TTL de 30 segundos (QR_TOKEN_EXPIRATION_SECONDS, default 30); variantes: token íntegro, token con payload alterado, mismo jti reutilizado (replay), jti vacío o nulo.","1) Generar un token. 2) Verificarlo sin alterar. 3) Alterarlo y verificarlo. 4) Consumirlo una vez e intentar reutilizarlo. 5) Intentar con un identificador de token vacío.","El token genuino se verifica e identifica al dueño; el token alterado es rechazado; el segundo uso se marca como ataque de repetición (replay); el identificador vacío es rechazado.","PASS","Crítica","#Seguridad #Funcional #Regresión","test_qr_utils.py::test_generate_and_verify_qr_token_success, test_verify_qr_token_tampered_fails, test_verify_qr_token_replay_attack_fails, test_verify_and_consume_token_empty_jti_fails","Gisele Lavisse","CI/pytest local","14/09/2026","El token genuino se verifica e identifica al dueño; el token alterado es rechazado; el segundo uso se marca como ataque de repetición (replay); el identificador vacío es rechazado.","","access"
"TC-ACCESS-06","Escaneo de QR por recepción con control de expiración y autoautorización","Verifica que el recepcionista pueda escanear tokens QR válidos y expirados, que el socio no pueda autoautorizarse, y que un reescaneo inmediato sea denegado.","Un socio tiene un token QR válido; existe una cuenta de recepcionista; los socios no pueden autoautorizarse.","Token QR válido (dueño socio1@access.test), token expirado (TTL de 30s ya vencido), usuario recepcionista (admin@access.test) escaneando vs. el propio socio intentando autoescanear.","1) El recepcionista escanea un token expirado. 2) El socio intenta autoautorizarse. 3) El recepcionista escanea un token válido y vuelve a escanearlo de inmediato. 4) El socio solicita un QR nuevo y el recepcionista lo escanea.","El token expirado se deniega y se registra; el socio no puede llamar al endpoint de escaneo; el primer escaneo se otorga y se registra, el reescaneo se deniega, ambos quedan guardados como registros separados; el flujo completo produce exactamente un registro otorgado vinculado al socio/token correcto.","PASS","Crítica","#Seguridad #Funcional #E2E #Regresión","test_qr_utils.py::test_scan_expired_token_returns_denied, test_member_cannot_call_scan_endpoint, test_replay_attack_via_endpoint, test_generate_and_scan_qr_views","Jimena Gallegillo","CI/pytest local","14/09/2026","El token expirado se deniega y se registra; el socio no puede llamar al endpoint de escaneo; el primer escaneo se otorga y se registra, el reescaneo se deniega, ambos quedan guardados como registros separados; el flujo completo produce exactamente un registro otorgado vinculado al socio/token correcto.","","access"
"TC-ACCESS-07","Alcance por rol del historial de accesos","Verifica que un socio solo pueda ver su propio historial de ingresos y que un administrador pueda ver el historial completo de todos los socios.","Existen registros de historial de acceso de varios socios; existen cuentas de socio y de administrador.","Registros de AccessLog de múltiples socios (ej. socio1@access.test, socio2@access.test); solicitud al listado de historial sin token, con token de socio y con token de administrador.","1) Solicitar el listado de historial sin autenticación. 2) Solicitarlo como socio. 3) Solicitarlo como administrador.","La solicitud sin autenticación se rechaza (401); el socio ve solo sus propios registros; el administrador ve todos los registros.","PASS","Alta","#Funcional #Seguridad #Regresión","test_qr_utils.py::test_unauthenticated_returns_401, test_socio_sees_only_own_logs, test_admin_sees_all_logs","Magali Bechis","CI/pytest local","14/09/2026","La solicitud sin autenticación se rechaza (401); el socio ve solo sus propios registros; el administrador ve todos los registros.","","access"
"TC-CLASSES-01","Búsqueda y filtrado de clases","Valida que la búsqueda por texto y los filtros por categoría, día y horario devuelvan únicamente las clases que cumplen el criterio, con paginación en el listado general.","Existen 3 clases activas con distinto nombre, categoría, instructor, día y horario. Usuario autenticado con rol administrador.","3 clases (ej. Yoga, Spinning, Funcional) con nombre/categoría/instructor/día/horario distintos; búsquedas por texto sobre nombre e instructor; filtros combinados de categoría, día y rango horario.","1) Buscar por texto que coincide con el nombre. 2) Buscar por texto que coincide con el instructor. 3) Filtrar por categoría. 4) Filtrar combinando día y rango horario. 5) Combinar búsqueda de texto con filtro de categoría. 6) Listar sin filtros.","Cada búsqueda/filtro devuelve solo las clases que cumplen el criterio; el listado general incluye metadatos de paginación (count, next, previous, results).","PASS","Media","#Funcional #Regresión","test_classes_search.py::test_text_search_matches_nombre, test_text_search_matches_instructor, test_filter_by_categoria, test_filter_by_dia_and_hora_range, test_combined_search_and_filter, test_pagination_metadata_present","Gisele Lavisse","CI/pytest local","14/09/2026","Cada búsqueda/filtro devuelve solo las clases que cumplen el criterio; el listado general incluye metadatos de paginación (count, next, previous, results).","","classes"
"TC-CLASSES-02","CRUD de clases restringido a administrador","Verifica que solo el rol administrador pueda crear, editar y eliminar clases, mientras que recepcionista y socio reciben acceso prohibido.","Existe un usuario administrador y otro recepcionista/socio; puede existir una clase previa.","Payload de clase completo (nombre, categoría, instructor, día, horario, cupo_maximo=20); usuarios admin, recepcionista y socio ejecutando POST/PATCH/DELETE sobre el recurso de clases.","1) Administrador crea una clase con datos completos. 2) Administrador edita (PATCH) campos de una clase existente. 3) Administrador elimina una clase. 4) Recepcionista/socio intentan crear, editar o eliminar clases.","El administrador puede crear/editar/eliminar exitosamente y los cambios se reflejan en la base de datos; recepcionista y socio reciben 403 Forbidden en cada intento.","PASS","Alta","#Funcional #CRUD #Regresión","test_classes_crud.py::test_create_clase_admin_201, test_create_clase_recep_403, test_create_clase_socio_403, test_patch_clase_admin_200, test_patch_clase_recep_403, test_delete_clase_admin_204, test_delete_clase_recep_403","Jimena Gallegillo","CI/pytest local","14/09/2026","El administrador puede crear/editar/eliminar exitosamente y los cambios se reflejan en la base de datos; recepcionista y socio reciben 403 Forbidden en cada intento.","","classes"
"TC-CLASSES-03","Listado y detalle de clases por rol","Valida que los tres roles autenticados puedan consultar el listado y detalle de clases, y que una solicitud sin autenticación sea rechazada.","Existe al menos una clase creada; usuarios de los tres roles disponibles.","Al menos 1 clase creada; solicitudes GET al listado y al detalle de una clase con admin, recepcionista, socio y sin token de autenticación.","1) Cada rol (admin, recepcionista, socio) lista las clases. 2) Un usuario consulta el detalle de una clase puntual. 3) Un visitante sin sesión intenta listar clases.","Los tres roles autenticados pueden listar (200) y el detalle incluye campos clave (cupos reservados, estado, inscripciones); sin autenticación responde 401.","PASS","Alta","#Funcional #Regresión","test_classes_crud.py::test_list_clases_admin_200, test_list_clases_recep_200, test_list_clases_socio_200, test_unauthenticated_401, test_retrieve_clase_200","Magali Bechis","CI/pytest local","14/09/2026","Los tres roles autenticados pueden listar (200) y el detalle incluye campos clave (cupos reservados, estado, inscripciones); sin autenticación responde 401.","","classes"
